Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) description,Result by Reviewer A,Result by Reviewer B,Result by Reviewer C,Result by Reviewer X,accepts,lifecycle:transition,rejects
10,decide,Wil,2006-05-14 01:00:00.000,2006-05-17 01:00:00.000,Variant 6,6,Simulated process instance,,,,,2,complete,0
10,invite additional reviewer,Mike,2006-05-20 01:00:00.000,2006-05-23 01:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,time-out X,__INVALID__,2006-05-31 01:00:00.000,2006-05-31 01:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,decide,Wil,2006-07-27 01:00:00.000,2006-07-30 01:00:00.000,Variant 6,6,Simulated process instance,,,,,2,complete,0
10,invite additional reviewer,Anne,2006-08-08 01:00:00.000,2006-08-12 01:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,get review X,Pete,2006-08-14 01:00:00.000,2006-08-14 01:00:00.000,Variant 6,6,Simulated process instance,,,,reject,,complete,
10,decide,Wil,2006-11-18 00:00:00.000,2006-11-22 00:00:00.000,Variant 6,6,Simulated process instance,,,,,2,complete,1
10,invite additional reviewer,Anne,2007-02-02 00:00:00.000,2007-02-06 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,time-out X,__INVALID__,2007-02-10 00:00:00.000,2007-02-10 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,decide,Wil,2007-12-02 00:00:00.000,2007-12-02 00:00:00.000,Variant 6,6,Simulated process instance,,,,,2,complete,1
10,invite additional reviewer,Mike,2007-12-02 00:00:00.000,2007-12-02 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,get review X,Carol,2007-12-06 00:00:00.000,2007-12-06 00:00:00.000,Variant 6,6,Simulated process instance,,,,accept,,complete,
10,decide,Wil,2008-02-16 00:00:00.000,2008-02-21 00:00:00.000,Variant 6,6,Simulated process instance,,,,,3,complete,1
10,invite additional reviewer,Anne,2008-02-21 00:00:00.000,2008-02-22 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,time-out X,__INVALID__,2008-03-01 00:00:00.000,2008-03-01 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,decide,Wil,2009-07-15 01:00:00.000,2009-07-15 01:00:00.000,Variant 6,6,Simulated process instance,,,,,3,complete,1
10,accept,Mike,2009-07-17 01:00:00.000,2009-07-17 01:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
100,invite reviewers,Anne,2007-03-15 00:00:00.000,2007-03-18 00:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,get review 3,Pam,2007-03-19 00:00:00.000,2007-03-19 00:00:00.000,Variant 2,2,Simulated process instance,,,accept,,,complete,
100,get review 1,Sara,2007-03-21 00:00:00.000,2007-03-21 00:00:00.000,Variant 2,2,Simulated process instance,accept,,,,,complete,
100,get review 2,Pete,2007-03-22 00:00:00.000,2007-03-22 00:00:00.000,Variant 2,2,Simulated process instance,,reject,,,,complete,
100,collect reviews,Anne,2007-03-22 00:00:00.000,2007-03-25 00:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,decide,Wil,2008-02-02 00:00:00.000,2008-02-03 00:00:00.000,Variant 2,2,Simulated process instance,,,,,2,complete,1
100,invite additional reviewer,Mike,2008-02-03 00:00:00.000,2008-02-05 00:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,time-out X,__INVALID__,2008-02-05 00:00:00.000,2008-02-05 00:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,decide,Wil,2008-08-11 01:00:00.000,2008-08-14 01:00:00.000,Variant 2,2,Simulated process instance,,,,,2,complete,1
100,invite additional reviewer,Anne,2008-08-14 01:00:00.000,2008-08-16 01:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,time-out X,__INVALID__,2008-08-21 01:00:00.000,2008-08-21 01:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,decide,Wil,2009-03-08 00:00:00.000,2009-03-13 00:00:00.000,Variant 2,2,Simulated process instance,,,,,2,complete,1
100,invite additional reviewer,Anne,2009-03-13 00:00:00.000,2009-03-16 00:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,get review X,Mary,2009-03-20 00:00:00.000,2009-03-20 00:00:00.000,Variant 2,2,Simulated process instance,,,,reject,,complete,
100,decide,Wil,2009-08-19 01:00:00.000,2009-08-19 01:00:00.000,Variant 2,2,Simulated process instance,,,,,2,complete,2
100,invite additional reviewer,Mike,2009-08-22 01:00:00.000,2009-08-24 01:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,time-out X,__INVALID__,2009-08-31 01:00:00.000,2009-08-31 01:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,decide,Wil,2009-09-06 01:00:00.000,2009-09-10 01:00:00.000,Variant 2,2,Simulated process instance,,,,,2,complete,2
100,invite additional reviewer,Anne,2009-09-10 01:00:00.000,2009-09-12 01:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
100,get review X,Mary,2009-09-16 01:00:00.000,2009-09-16 01:00:00.000,Variant 2,2,Simulated process instance,,,,accept,,complete,
100,decide,Wil,2009-09-19 01:00:00.000,2009-09-23 01:00:00.000,Variant 2,2,Simulated process instance,,,,,3,complete,2
100,accept,Mike,2009-09-23 01:00:00.000,2009-09-23 01:00:00.000,Variant 2,2,Simulated process instance,,,,,,complete,
11,invite reviewers,Mike,2006-02-04 00:00:00.000,2006-02-06 00:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,get review 3,Sam,2006-02-08 00:00:00.000,2006-02-08 00:00:00.000,Variant 7,7,Simulated process instance,,,reject,,,complete,
11,time-out 2,__INVALID__,2006-02-10 00:00:00.000,2006-02-10 00:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,time-out 1,__INVALID__,2006-02-12 00:00:00.000,2006-02-12 00:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,collect reviews,Anne,2006-02-18 00:00:00.000,2006-02-21 00:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,decide,Wil,2006-06-20 01:00:00.000,2006-06-22 01:00:00.000,Variant 7,7,Simulated process instance,,,,,1,complete,1
11,invite additional reviewer,Mike,2006-06-24 01:00:00.000,2006-06-29 01:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,time-out X,__INVALID__,2006-07-05 01:00:00.000,2006-07-05 01:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,decide,Wil,2006-07-07 01:00:00.000,2006-07-07 01:00:00.000,Variant 7,7,Simulated process instance,,,,,1,complete,1
11,invite additional reviewer,Mike,2006-07-20 01:00:00.000,2006-07-23 01:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,time-out X,__INVALID__,2006-08-01 01:00:00.000,2006-08-01 01:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,decide,Wil,2006-09-20 01:00:00.000,2006-09-22 01:00:00.000,Variant 7,7,Simulated process instance,,,,,1,complete,1
11,invite additional reviewer,Mike,2006-10-23 01:00:00.000,2006-10-23 01:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,time-out X,__INVALID__,2006-10-27 01:00:00.000,2006-10-27 01:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,decide,Wil,2007-01-25 00:00:00.000,2007-01-28 00:00:00.000,Variant 7,7,Simulated process instance,,,,,1,complete,1
11,invite additional reviewer,Anne,2007-02-10 00:00:00.000,2007-02-15 00:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,get review X,Mary,2007-02-20 00:00:00.000,2007-02-20 00:00:00.000,Variant 7,7,Simulated process instance,,,,reject,,complete,
11,decide,Wil,2008-03-03 00:00:00.000,2008-03-04 00:00:00.000,Variant 7,7,Simulated process instance,,,,,1,complete,2
11,invite additional reviewer,Anne,2008-03-04 00:00:00.000,2008-03-04 00:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,time-out X,__INVALID__,2008-03-13 00:00:00.000,2008-03-13 00:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,decide,Wil,2008-07-29 01:00:00.000,2008-08-01 01:00:00.000,Variant 7,7,Simulated process instance,,,,,1,complete,2
11,invite additional reviewer,Anne,2008-08-01 01:00:00.000,2008-08-04 01:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,get review X,Mary,2008-08-05 01:00:00.000,2008-08-05 01:00:00.000,Variant 7,7,Simulated process instance,,,,accept,,complete,
11,decide,Wil,2008-09-15 01:00:00.000,2008-09-18 01:00:00.000,Variant 7,7,Simulated process instance,,,,,2,complete,2
11,invite additional reviewer,Mike,2008-09-18 01:00:00.000,2008-09-23 01:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
11,get review X,Carol,2008-09-26 01:00:00.000,2008-09-26 01:00:00.000,Variant 7,7,Simulated process instance,,,,reject,,complete,
11,decide,Wil,2009-02-16 00:00:00.000,2009-02-16 00:00:00.000,Variant 7,7,Simulated process instance,,,,,2,complete,3
11,reject,Anne,2009-02-19 00:00:00.000,2009-02-20 00:00:00.000,Variant 7,7,Simulated process instance,,,,,,complete,
12,invite reviewers,Anne,2006-02-07 00:00:00.000,2006-02-07 00:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,get review 2,John,2006-02-11 00:00:00.000,2006-02-11 00:00:00.000,Variant 8,8,Simulated process instance,,accept,,,,complete,
12,get review 3,Carol,2006-02-12 00:00:00.000,2006-02-12 00:00:00.000,Variant 8,8,Simulated process instance,,,accept,,,complete,
12,time-out 1,__INVALID__,2006-02-13 00:00:00.000,2006-02-13 00:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,collect reviews,Mike,2006-02-14 00:00:00.000,2006-02-18 00:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,decide,Wil,2006-02-24 00:00:00.000,2006-02-26 00:00:00.000,Variant 8,8,Simulated process instance,,,,,2,complete,0
12,invite additional reviewer,Mike,2006-02-26 00:00:00.000,2006-03-01 00:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,time-out X,__INVALID__,2006-03-07 00:00:00.000,2006-03-07 00:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,decide,Wil,2006-03-10 00:00:00.000,2006-03-15 00:00:00.000,Variant 8,8,Simulated process instance,,,,,2,complete,0
12,invite additional reviewer,Anne,2006-03-16 00:00:00.000,2006-03-19 00:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,time-out X,__INVALID__,2006-03-29 01:00:00.000,2006-03-29 01:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,decide,Wil,2006-03-31 01:00:00.000,2006-04-03 01:00:00.000,Variant 8,8,Simulated process instance,,,,,2,complete,0
12,invite additional reviewer,Mike,2006-04-05 01:00:00.000,2006-04-08 01:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,get review X,Pete,2006-04-12 01:00:00.000,2006-04-12 01:00:00.000,Variant 8,8,Simulated process instance,,,,reject,,complete,
12,decide,Wil,2006-11-10 00:00:00.000,2006-11-13 00:00:00.000,Variant 8,8,Simulated process instance,,,,,2,complete,1
12,invite additional reviewer,Anne,2007-01-06 00:00:00.000,2007-01-09 00:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,get review X,Pete,2007-01-13 00:00:00.000,2007-01-13 00:00:00.000,Variant 8,8,Simulated process instance,,,,reject,,complete,
12,decide,Wil,2007-11-17 00:00:00.000,2007-11-21 00:00:00.000,Variant 8,8,Simulated process instance,,,,,2,complete,2
12,invite additional reviewer,Mike,2007-11-21 00:00:00.000,2007-11-25 00:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,time-out X,__INVALID__,2007-12-01 00:00:00.000,2007-12-01 00:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,decide,Wil,2008-03-24 00:00:00.000,2008-03-28 00:00:00.000,Variant 8,8,Simulated process instance,,,,,2,complete,2
12,invite additional reviewer,Mike,2008-03-28 00:00:00.000,2008-04-01 01:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
12,get review X,Carol,2008-04-03 01:00:00.000,2008-04-03 01:00:00.000,Variant 8,8,Simulated process instance,,,,reject,,complete,
12,decide,Wil,2008-04-16 01:00:00.000,2008-04-19 01:00:00.000,Variant 8,8,Simulated process instance,,,,,2,complete,3
12,reject,Anne,2008-04-19 01:00:00.000,2008-04-23 01:00:00.000,Variant 8,8,Simulated process instance,,,,,,complete,
13,invite reviewers,Anne,2006-02-15 00:00:00.000,2006-02-18 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,get review 2,Carol,2006-02-21 00:00:00.000,2006-02-21 00:00:00.000,Variant 9,9,Simulated process instance,,reject,,,,complete,
13,time-out 1,__INVALID__,2006-02-22 00:00:00.000,2006-02-22 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,get review 3,John,2006-02-23 00:00:00.000,2006-02-23 00:00:00.000,Variant 9,9,Simulated process instance,,,accept,,,complete,
13,collect reviews,Anne,2006-02-24 00:00:00.000,2006-02-24 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,decide,Wil,2006-03-06 00:00:00.000,2006-03-10 00:00:00.000,Variant 9,9,Simulated process instance,,,,,1,complete,1
13,invite additional reviewer,Anne,2006-03-13 00:00:00.000,2006-03-16 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,time-out X,__INVALID__,2006-03-26 00:00:00.000,2006-03-26 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,decide,Wil,2006-04-20 01:00:00.000,2006-04-22 01:00:00.000,Variant 9,9,Simulated process instance,,,,,1,complete,1
13,invite additional reviewer,Mike,2006-04-22 01:00:00.000,2006-04-23 01:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,time-out X,__INVALID__,2006-05-02 01:00:00.000,2006-05-02 01:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,decide,Wil,2006-05-05 01:00:00.000,2006-05-09 01:00:00.000,Variant 9,9,Simulated process instance,,,,,1,complete,1
13,invite additional reviewer,Mike,2006-05-09 01:00:00.000,2006-05-11 01:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,time-out X,__INVALID__,2006-05-16 01:00:00.000,2006-05-16 01:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,decide,Wil,2006-07-13 01:00:00.000,2006-07-13 01:00:00.000,Variant 9,9,Simulated process instance,,,,,1,complete,1
13,invite additional reviewer,Mike,2007-01-20 00:00:00.000,2007-01-23 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,get review X,Carol,2007-01-24 00:00:00.000,2007-01-24 00:00:00.000,Variant 9,9,Simulated process instance,,,,reject,,complete,
13,decide,Wil,2007-02-13 00:00:00.000,2007-02-13 00:00:00.000,Variant 9,9,Simulated process instance,,,,,1,complete,2
13,invite additional reviewer,Anne,2007-04-03 01:00:00.000,2007-04-08 01:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,time-out X,__INVALID__,2007-04-15 01:00:00.000,2007-04-15 01:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,decide,Wil,2008-02-03 00:00:00.000,2008-02-04 00:00:00.000,Variant 9,9,Simulated process instance,,,,,1,complete,2
13,invite additional reviewer,Mike,2008-02-05 00:00:00.000,2008-02-09 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,time-out X,__INVALID__,2008-02-13 00:00:00.000,2008-02-13 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,decide,Wil,2008-03-20 00:00:00.000,2008-03-24 00:00:00.000,Variant 9,9,Simulated process instance,,,,,1,complete,2
13,invite additional reviewer,Mike,2008-03-24 00:00:00.000,2008-03-24 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,get review X,Pam,2008-03-25 00:00:00.000,2008-03-25 00:00:00.000,Variant 9,9,Simulated process instance,,,,reject,,complete,
13,decide,Wil,2008-05-01 01:00:00.000,2008-05-05 01:00:00.000,Variant 9,9,Simulated process instance,,,,,1,complete,3
13,invite additional reviewer,Anne,2008-05-05 01:00:00.000,2008-05-10 01:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,get review X,Pete,2008-05-10 01:00:00.000,2008-05-10 01:00:00.000,Variant 9,9,Simulated process instance,,,,accept,,complete,
13,decide,Wil,2008-09-28 01:00:00.000,2008-09-30 01:00:00.000,Variant 9,9,Simulated process instance,,,,,2,complete,3
13,invite additional reviewer,Mike,2008-09-30 01:00:00.000,2008-10-01 01:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
13,get review X,Carol,2008-10-05 01:00:00.000,2008-10-05 01:00:00.000,Variant 9,9,Simulated process instance,,,,reject,,complete,
13,decide,Wil,2008-11-25 00:00:00.000,2008-11-28 00:00:00.000,Variant 9,9,Simulated process instance,,,,,2,complete,4
13,reject,Mike,2008-11-28 00:00:00.000,2008-12-01 00:00:00.000,Variant 9,9,Simulated process instance,,,,,,complete,
14,invite reviewers,Mike,2006-02-23 00:00:00.000,2006-02-25 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out 2,__INVALID__,2006-02-27 00:00:00.000,2006-02-27 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out 3,__INVALID__,2006-02-28 00:00:00.000,2006-02-28 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,get review 1,Sam,2006-03-01 00:00:00.000,2006-03-01 00:00:00.000,Variant 10,10,Simulated process instance,reject,,,,,complete,
14,collect reviews,Mike,2006-03-01 00:00:00.000,2006-03-04 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2006-05-01 01:00:00.000,2006-05-05 01:00:00.000,Variant 10,10,Simulated process instance,,,,,0,complete,2
14,invite additional reviewer,Mike,2006-05-13 01:00:00.000,2006-05-17 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2006-05-20 01:00:00.000,2006-05-20 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2006-05-25 01:00:00.000,2006-05-25 01:00:00.000,Variant 10,10,Simulated process instance,,,,,0,complete,2
14,invite additional reviewer,Anne,2006-05-30 01:00:00.000,2006-06-01 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2006-06-06 01:00:00.000,2006-06-06 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2006-07-13 01:00:00.000,2006-07-18 01:00:00.000,Variant 10,10,Simulated process instance,,,,,0,complete,2
14,invite additional reviewer,Mike,2006-09-01 01:00:00.000,2006-09-01 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2006-09-08 01:00:00.000,2006-09-08 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2006-09-25 01:00:00.000,2006-09-29 01:00:00.000,Variant 10,10,Simulated process instance,,,,,0,complete,2
14,invite additional reviewer,Mike,2006-11-25 00:00:00.000,2006-11-27 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2006-12-06 00:00:00.000,2006-12-06 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2007-03-31 01:00:00.000,2007-04-04 01:00:00.000,Variant 10,10,Simulated process instance,,,,,0,complete,2
14,invite additional reviewer,Anne,2007-04-17 01:00:00.000,2007-04-20 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2007-04-26 01:00:00.000,2007-04-26 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2008-04-19 01:00:00.000,2008-04-23 01:00:00.000,Variant 10,10,Simulated process instance,,,,,0,complete,2
14,invite additional reviewer,Mike,2008-04-23 01:00:00.000,2008-04-26 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2008-05-03 01:00:00.000,2008-05-03 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2008-07-17 01:00:00.000,2008-07-18 01:00:00.000,Variant 10,10,Simulated process instance,,,,,0,complete,2
14,invite additional reviewer,Anne,2008-07-18 01:00:00.000,2008-07-18 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2008-07-20 01:00:00.000,2008-07-20 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2008-10-01 01:00:00.000,2008-10-05 01:00:00.000,Variant 10,10,Simulated process instance,,,,,0,complete,2
14,invite additional reviewer,Anne,2008-10-05 01:00:00.000,2008-10-10 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,get review X,Pete,2008-10-10 01:00:00.000,2008-10-10 01:00:00.000,Variant 10,10,Simulated process instance,,,,accept,,complete,
14,decide,Wil,2008-12-17 00:00:00.000,2008-12-21 00:00:00.000,Variant 10,10,Simulated process instance,,,,,1,complete,2
14,invite additional reviewer,Anne,2008-12-21 00:00:00.000,2008-12-23 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2008-12-24 00:00:00.000,2008-12-24 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2009-05-16 01:00:00.000,2009-05-20 01:00:00.000,Variant 10,10,Simulated process instance,,,,,1,complete,2
14,invite additional reviewer,Anne,2009-05-20 01:00:00.000,2009-05-22 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2009-05-26 01:00:00.000,2009-05-26 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2009-08-21 01:00:00.000,2009-08-22 01:00:00.000,Variant 10,10,Simulated process instance,,,,,1,complete,2
14,invite additional reviewer,Anne,2009-08-23 01:00:00.000,2009-08-28 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2009-09-01 01:00:00.000,2009-09-01 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2009-10-01 01:00:00.000,2009-10-01 01:00:00.000,Variant 10,10,Simulated process instance,,,,,1,complete,2
14,invite additional reviewer,Mike,2009-10-01 01:00:00.000,2009-10-04 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2009-10-04 01:00:00.000,2009-10-04 01:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2009-10-21 01:00:00.000,2009-10-24 01:00:00.000,Variant 10,10,Simulated process instance,,,,,1,complete,2
14,invite additional reviewer,Anne,2009-10-24 01:00:00.000,2009-10-29 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2009-11-02 00:00:00.000,2009-11-02 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2009-11-18 00:00:00.000,2009-11-18 00:00:00.000,Variant 10,10,Simulated process instance,,,,,1,complete,2
14,invite additional reviewer,Anne,2009-11-18 00:00:00.000,2009-11-21 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,time-out X,__INVALID__,2009-11-29 00:00:00.000,2009-11-29 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,decide,Wil,2009-12-12 00:00:00.000,2009-12-14 00:00:00.000,Variant 10,10,Simulated process instance,,,,,1,complete,2
14,invite additional reviewer,Anne,2009-12-14 00:00:00.000,2009-12-16 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,get review X,Pete,2009-12-16 00:00:00.000,2009-12-16 00:00:00.000,Variant 10,10,Simulated process instance,,,,accept,,complete,
14,decide,Wil,2009-12-16 00:00:00.000,2009-12-18 00:00:00.000,Variant 10,10,Simulated process instance,,,,,2,complete,2
14,invite additional reviewer,Mike,2009-12-18 00:00:00.000,2009-12-18 00:00:00.000,Variant 10,10,Simulated process instance,,,,,,complete,
14,get review X,Pam,2009-12-18 00:00:00.000,2009-12-18 00:00:00.000,Variant 10,10,Simulated process instance,,,,reject,,complete,
