Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) description,call centre,duration,lifecycle:transition,location,outcome
10,incoming claim,customer,1970-01-01 01:00:45.000,1970-01-01 01:00:45.000,Variant 9,9,Simulated process instance,Brisbane,,complete,,
10,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 01:00:45.000,1970-01-01 01:01:12.000,Variant 9,9,Simulated process instance,,,complete,Brisbane,
10,B register claim,Call Centre Agent Brisbane,1970-01-01 01:01:12.000,1970-01-01 01:12:34.000,Variant 9,9,Simulated process instance,,,complete,,
10,determine likelihood of claim,Claims handler,1970-01-01 01:14:22.000,1970-01-01 01:15:00.000,Variant 9,9,Simulated process instance,,,complete,,
10,assess claim,Claims handler,1970-01-01 01:15:00.000,1970-01-01 01:17:16.000,Variant 9,9,Simulated process instance,,,complete,,
10,initiate payment,Claims handler,1970-01-01 01:17:16.000,1970-01-01 01:18:28.000,Variant 9,9,Simulated process instance,,,complete,,
10,advise claimant on reimbursement,Claims handler,1970-01-01 01:18:28.000,1970-01-01 01:19:47.000,Variant 9,9,Simulated process instance,,,complete,,
10,close claim,Claims handler,1970-01-01 01:19:47.000,1970-01-01 01:20:25.000,Variant 9,9,Simulated process instance,,,complete,,
10,end,Claims handler,1970-01-01 01:20:25.000,1970-01-01 01:20:25.000,Variant 9,9,Simulated process instance,,1180,complete,,processed
100,incoming claim,customer,1970-01-01 01:12:59.000,1970-01-01 01:12:59.000,Variant 1,1,Simulated process instance,Brisbane,,complete,,
100,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 03:53:58.000,1970-01-01 03:54:26.000,Variant 1,1,Simulated process instance,,,complete,Brisbane,
100,B register claim,Call Centre Agent Brisbane,1970-01-01 03:54:26.000,1970-01-01 04:25:41.000,Variant 1,1,Simulated process instance,,,complete,,
100,determine likelihood of claim,Claims handler,1970-01-01 04:48:10.000,1970-01-01 04:48:16.000,Variant 1,1,Simulated process instance,,,complete,,
100,assess claim,Claims handler,1970-01-01 04:48:16.000,1970-01-01 05:10:17.000,Variant 1,1,Simulated process instance,,,complete,,
100,advise claimant on reimbursement,Claims handler,1970-01-01 05:10:17.000,1970-01-01 05:12:47.000,Variant 1,1,Simulated process instance,,,complete,,
100,initiate payment,Claims handler,1970-01-01 05:12:47.000,1970-01-01 05:18:29.000,Variant 1,1,Simulated process instance,,,complete,,
100,close claim,Claims handler,1970-01-01 05:18:29.000,1970-01-01 05:18:59.000,Variant 1,1,Simulated process instance,,,complete,,
100,end,Claims handler,1970-01-01 05:18:59.000,1970-01-01 05:18:59.000,Variant 1,1,Simulated process instance,,14760,complete,,processed
1000,incoming claim,customer,1970-01-01 03:19:15.000,1970-01-01 03:19:15.000,Variant 6,6,Simulated process instance,Brisbane,,complete,,
1000,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 03:30:24.000,1970-01-01 03:30:51.000,Variant 6,6,Simulated process instance,,,complete,Brisbane,
1000,B register claim,Call Centre Agent Brisbane,1970-01-01 03:30:51.000,1970-01-01 03:36:35.000,Variant 6,6,Simulated process instance,,,complete,,
1000,determine likelihood of claim,Claims handler,1970-01-01 09:37:37.000,1970-01-01 09:38:02.000,Variant 6,6,Simulated process instance,,,complete,,
1000,end,Claims handler,1970-01-01 09:38:02.000,1970-01-01 09:38:02.000,Variant 6,6,Simulated process instance,,22727,complete,,not liable
1001,incoming claim,customer,1970-01-01 03:08:13.000,1970-01-01 03:08:13.000,Variant 10,10,Simulated process instance,Sydney,,complete,,
1001,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:31:48.000,1970-01-01 03:31:52.000,Variant 10,10,Simulated process instance,,,complete,Sydney,
1001,S register claim,Call Centre Agent Sydney,1970-01-01 03:31:52.000,1970-01-01 03:34:34.000,Variant 10,10,Simulated process instance,,,complete,,
1001,determine likelihood of claim,Claims handler,1970-01-01 05:26:07.000,1970-01-01 05:26:21.000,Variant 10,10,Simulated process instance,,,complete,,
1001,end,Claims handler,1970-01-01 05:26:21.000,1970-01-01 05:26:21.000,Variant 10,10,Simulated process instance,,8288,complete,,not liable
1002,incoming claim,customer,1970-01-01 03:19:17.000,1970-01-01 03:19:17.000,Variant 1,1,Simulated process instance,Brisbane,,complete,,
1002,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 04:28:38.000,1970-01-01 04:28:41.000,Variant 1,1,Simulated process instance,,,complete,Brisbane,
1002,B register claim,Call Centre Agent Brisbane,1970-01-01 04:28:41.000,1970-01-01 04:29:21.000,Variant 1,1,Simulated process instance,,,complete,,
1002,determine likelihood of claim,Claims handler,1970-01-01 06:08:46.000,1970-01-01 06:09:52.000,Variant 1,1,Simulated process instance,,,complete,,
1002,assess claim,Claims handler,1970-01-01 06:09:52.000,1970-01-01 06:11:56.000,Variant 1,1,Simulated process instance,,,complete,,
1002,advise claimant on reimbursement,Claims handler,1970-01-01 06:11:56.000,1970-01-01 06:23:11.000,Variant 1,1,Simulated process instance,,,complete,,
1002,initiate payment,Claims handler,1970-01-01 06:23:11.000,1970-01-01 06:25:54.000,Variant 1,1,Simulated process instance,,,complete,,
1002,close claim,Claims handler,1970-01-01 06:25:54.000,1970-01-01 06:25:58.000,Variant 1,1,Simulated process instance,,,complete,,
1002,end,Claims handler,1970-01-01 06:25:58.000,1970-01-01 06:25:58.000,Variant 1,1,Simulated process instance,,11201,complete,,processed
1003,incoming claim,customer,1970-01-01 03:08:27.000,1970-01-01 03:08:27.000,Variant 8,8,Simulated process instance,Sydney,,complete,,
1003,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:13:09.000,1970-01-01 03:14:10.000,Variant 8,8,Simulated process instance,,,complete,Sydney,
1003,S register claim,Call Centre Agent Sydney,1970-01-01 03:14:10.000,1970-01-01 03:38:29.000,Variant 8,8,Simulated process instance,,,complete,,
1003,determine likelihood of claim,Claims handler,1970-01-01 03:40:16.000,1970-01-01 03:40:38.000,Variant 8,8,Simulated process instance,,,complete,,
1003,assess claim,Claims handler,1970-01-01 03:40:38.000,1970-01-01 03:41:58.000,Variant 8,8,Simulated process instance,,,complete,,
1003,initiate payment,Claims handler,1970-01-01 03:41:58.000,1970-01-01 03:42:40.000,Variant 8,8,Simulated process instance,,,complete,,
1003,advise claimant on reimbursement,Claims handler,1970-01-01 03:42:40.000,1970-01-01 03:43:49.000,Variant 8,8,Simulated process instance,,,complete,,
1003,close claim,Claims handler,1970-01-01 03:43:49.000,1970-01-01 03:43:55.000,Variant 8,8,Simulated process instance,,,complete,,
1003,end,Claims handler,1970-01-01 03:43:55.000,1970-01-01 03:43:55.000,Variant 8,8,Simulated process instance,,2128,complete,,processed
1004,incoming claim,customer,1970-01-01 03:19:21.000,1970-01-01 03:19:21.000,Variant 6,6,Simulated process instance,Brisbane,,complete,,
1004,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 03:19:42.000,1970-01-01 03:20:39.000,Variant 6,6,Simulated process instance,,,complete,Brisbane,
1004,B register claim,Call Centre Agent Brisbane,1970-01-01 03:20:39.000,1970-01-01 03:27:44.000,Variant 6,6,Simulated process instance,,,complete,,
1004,determine likelihood of claim,Claims handler,1970-01-01 12:10:15.000,1970-01-01 12:10:40.000,Variant 6,6,Simulated process instance,,,complete,,
1004,end,Claims handler,1970-01-01 12:10:40.000,1970-01-01 12:10:40.000,Variant 6,6,Simulated process instance,,31879,complete,,not liable
1005,incoming claim,customer,1970-01-01 03:08:31.000,1970-01-01 03:08:31.000,Variant 3,3,Simulated process instance,Sydney,,complete,,
1005,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:27:52.000,1970-01-01 03:29:59.000,Variant 3,3,Simulated process instance,,,complete,Sydney,
1005,end,Call Centre Agent Sydney,1970-01-01 03:29:59.000,1970-01-01 03:29:59.000,Variant 3,3,Simulated process instance,,1288,complete,,S insufficient information
1006,incoming claim,customer,1970-01-01 03:19:31.000,1970-01-01 03:19:31.000,Variant 6,6,Simulated process instance,Brisbane,,complete,,
1006,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 03:42:04.000,1970-01-01 03:42:32.000,Variant 6,6,Simulated process instance,,,complete,Brisbane,
1006,B register claim,Call Centre Agent Brisbane,1970-01-01 03:42:32.000,1970-01-01 03:50:30.000,Variant 6,6,Simulated process instance,,,complete,,
1006,determine likelihood of claim,Claims handler,1970-01-01 07:33:11.000,1970-01-01 07:33:37.000,Variant 6,6,Simulated process instance,,,complete,,
1006,end,Claims handler,1970-01-01 07:33:37.000,1970-01-01 07:33:37.000,Variant 6,6,Simulated process instance,,15246,complete,,not liable
1007,incoming claim,customer,1970-01-01 03:09:16.000,1970-01-01 03:09:16.000,Variant 11,11,Simulated process instance,Sydney,,complete,,
1007,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:10:47.000,1970-01-01 03:10:48.000,Variant 11,11,Simulated process instance,,,complete,Sydney,
1007,S register claim,Call Centre Agent Sydney,1970-01-01 03:10:48.000,1970-01-01 03:42:14.000,Variant 11,11,Simulated process instance,,,complete,,
1007,determine likelihood of claim,Claims handler,1970-01-01 05:00:00.000,1970-01-01 05:00:04.000,Variant 11,11,Simulated process instance,,,complete,,
1007,assess claim,Claims handler,1970-01-01 05:00:04.000,1970-01-01 05:08:22.000,Variant 11,11,Simulated process instance,,,complete,,
1007,end,Claims handler,1970-01-01 05:08:22.000,1970-01-01 05:08:22.000,Variant 11,11,Simulated process instance,,7146,complete,,rejected
1008,incoming claim,customer,1970-01-01 03:19:45.000,1970-01-01 03:19:45.000,Variant 9,9,Simulated process instance,Brisbane,,complete,,
1008,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 03:54:58.000,1970-01-01 03:55:18.000,Variant 9,9,Simulated process instance,,,complete,Brisbane,
1008,B register claim,Call Centre Agent Brisbane,1970-01-01 03:55:18.000,1970-01-01 04:09:40.000,Variant 9,9,Simulated process instance,,,complete,,
1008,determine likelihood of claim,Claims handler,1970-01-01 04:51:44.000,1970-01-01 04:51:56.000,Variant 9,9,Simulated process instance,,,complete,,
1008,assess claim,Claims handler,1970-01-01 04:51:56.000,1970-01-01 04:58:50.000,Variant 9,9,Simulated process instance,,,complete,,
1008,initiate payment,Claims handler,1970-01-01 04:58:50.000,1970-01-01 04:58:55.000,Variant 9,9,Simulated process instance,,,complete,,
1008,advise claimant on reimbursement,Claims handler,1970-01-01 04:58:55.000,1970-01-01 05:00:49.000,Variant 9,9,Simulated process instance,,,complete,,
1008,close claim,Claims handler,1970-01-01 05:00:49.000,1970-01-01 05:00:55.000,Variant 9,9,Simulated process instance,,,complete,,
1008,end,Claims handler,1970-01-01 05:00:55.000,1970-01-01 05:00:55.000,Variant 9,9,Simulated process instance,,6070,complete,,processed
1009,incoming claim,customer,1970-01-01 03:09:23.000,1970-01-01 03:09:23.000,Variant 4,4,Simulated process instance,Sydney,,complete,,
1009,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:10:50.000,1970-01-01 03:11:56.000,Variant 4,4,Simulated process instance,,,complete,Sydney,
1009,S register claim,Call Centre Agent Sydney,1970-01-01 03:11:56.000,1970-01-01 03:13:05.000,Variant 4,4,Simulated process instance,,,complete,,
1009,determine likelihood of claim,Claims handler,1970-01-01 08:14:43.000,1970-01-01 08:15:05.000,Variant 4,4,Simulated process instance,,,complete,,
1009,assess claim,Claims handler,1970-01-01 08:15:05.000,1970-01-01 08:20:27.000,Variant 4,4,Simulated process instance,,,complete,,
1009,initiate payment,Claims handler,1970-01-01 08:20:27.000,1970-01-01 08:22:36.000,Variant 4,4,Simulated process instance,,,complete,,
1009,close claim,Claims handler,1970-01-01 08:22:36.000,1970-01-01 08:23:01.000,Variant 4,4,Simulated process instance,,,complete,,
1009,advise claimant on reimbursement,Claims handler,1970-01-01 08:23:01.000,1970-01-01 08:28:02.000,Variant 4,4,Simulated process instance,,,complete,,
1009,end,Claims handler,1970-01-01 08:28:02.000,1970-01-01 08:28:02.000,Variant 4,4,Simulated process instance,,19119,complete,,processed
101,incoming claim,customer,1970-01-01 01:12:01.000,1970-01-01 01:12:01.000,Variant 10,10,Simulated process instance,Sydney,,complete,,
101,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 01:29:50.000,1970-01-01 01:30:14.000,Variant 10,10,Simulated process instance,,,complete,Sydney,
101,S register claim,Call Centre Agent Sydney,1970-01-01 01:30:14.000,1970-01-01 01:30:49.000,Variant 10,10,Simulated process instance,,,complete,,
101,determine likelihood of claim,Claims handler,1970-01-01 01:47:12.000,1970-01-01 01:47:16.000,Variant 10,10,Simulated process instance,,,complete,,
101,end,Claims handler,1970-01-01 01:47:16.000,1970-01-01 01:47:16.000,Variant 10,10,Simulated process instance,,2115,complete,,not liable
1010,incoming claim,customer,1970-01-01 03:20:03.000,1970-01-01 03:20:03.000,Variant 6,6,Simulated process instance,Brisbane,,complete,,
1010,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 04:57:06.000,1970-01-01 04:58:16.000,Variant 6,6,Simulated process instance,,,complete,Brisbane,
1010,B register claim,Call Centre Agent Brisbane,1970-01-01 04:58:16.000,1970-01-01 05:00:31.000,Variant 6,6,Simulated process instance,,,complete,,
1010,determine likelihood of claim,Claims handler,1970-01-01 07:26:27.000,1970-01-01 07:26:47.000,Variant 6,6,Simulated process instance,,,complete,,
1010,end,Claims handler,1970-01-01 07:26:47.000,1970-01-01 07:26:47.000,Variant 6,6,Simulated process instance,,14804,complete,,not liable
1011,incoming claim,customer,1970-01-01 03:09:25.000,1970-01-01 03:09:25.000,Variant 10,10,Simulated process instance,Sydney,,complete,,
1011,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:27:23.000,1970-01-01 03:27:31.000,Variant 10,10,Simulated process instance,,,complete,Sydney,
1011,S register claim,Call Centre Agent Sydney,1970-01-01 03:27:31.000,1970-01-01 03:28:20.000,Variant 10,10,Simulated process instance,,,complete,,
1011,determine likelihood of claim,Claims handler,1970-01-01 08:15:44.000,1970-01-01 08:16:03.000,Variant 10,10,Simulated process instance,,,complete,,
1011,end,Claims handler,1970-01-01 08:16:03.000,1970-01-01 08:16:03.000,Variant 10,10,Simulated process instance,,18398,complete,,not liable
1012,incoming claim,customer,1970-01-01 03:20:23.000,1970-01-01 03:20:23.000,Variant 12,12,Simulated process instance,Brisbane,,complete,,
1012,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 04:28:39.000,1970-01-01 04:28:49.000,Variant 12,12,Simulated process instance,,,complete,Brisbane,
1012,end,Call Centre Agent Brisbane,1970-01-01 04:28:49.000,1970-01-01 04:28:49.000,Variant 12,12,Simulated process instance,,4106,complete,,B insufficient information
1013,incoming claim,customer,1970-01-01 03:09:39.000,1970-01-01 03:09:39.000,Variant 10,10,Simulated process instance,Sydney,,complete,,
1013,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:19:13.000,1970-01-01 03:19:23.000,Variant 10,10,Simulated process instance,,,complete,Sydney,
1013,S register claim,Call Centre Agent Sydney,1970-01-01 03:19:23.000,1970-01-01 03:28:38.000,Variant 10,10,Simulated process instance,,,complete,,
1013,determine likelihood of claim,Claims handler,1970-01-01 11:14:05.000,1970-01-01 11:15:10.000,Variant 10,10,Simulated process instance,,,complete,,
1013,end,Claims handler,1970-01-01 11:15:10.000,1970-01-01 11:15:10.000,Variant 10,10,Simulated process instance,,29131,complete,,not liable
1014,incoming claim,customer,1970-01-01 03:21:16.000,1970-01-01 03:21:16.000,Variant 7,7,Simulated process instance,Brisbane,,complete,,
1014,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 05:06:31.000,1970-01-01 05:07:06.000,Variant 7,7,Simulated process instance,,,complete,Brisbane,
1014,B register claim,Call Centre Agent Brisbane,1970-01-01 05:07:06.000,1970-01-01 05:11:06.000,Variant 7,7,Simulated process instance,,,complete,,
1014,determine likelihood of claim,Claims handler,1970-01-01 05:36:28.000,1970-01-01 05:36:35.000,Variant 7,7,Simulated process instance,,,complete,,
1014,assess claim,Claims handler,1970-01-01 05:36:35.000,1970-01-01 05:59:11.000,Variant 7,7,Simulated process instance,,,complete,,
1014,initiate payment,Claims handler,1970-01-01 05:59:11.000,1970-01-01 06:00:14.000,Variant 7,7,Simulated process instance,,,complete,,
1014,close claim,Claims handler,1970-01-01 06:00:14.000,1970-01-01 06:01:13.000,Variant 7,7,Simulated process instance,,,complete,,
1014,advise claimant on reimbursement,Claims handler,1970-01-01 06:01:13.000,1970-01-01 06:12:20.000,Variant 7,7,Simulated process instance,,,complete,,
1014,end,Claims handler,1970-01-01 06:12:20.000,1970-01-01 06:12:20.000,Variant 7,7,Simulated process instance,,10264,complete,,processed
1015,incoming claim,customer,1970-01-01 03:09:47.000,1970-01-01 03:09:47.000,Variant 4,4,Simulated process instance,Sydney,,complete,,
1015,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:34:20.000,1970-01-01 03:34:42.000,Variant 4,4,Simulated process instance,,,complete,Sydney,
1015,S register claim,Call Centre Agent Sydney,1970-01-01 03:34:42.000,1970-01-01 03:38:01.000,Variant 4,4,Simulated process instance,,,complete,,
1015,determine likelihood of claim,Claims handler,1970-01-01 08:48:55.000,1970-01-01 08:49:35.000,Variant 4,4,Simulated process instance,,,complete,,
1015,assess claim,Claims handler,1970-01-01 08:49:35.000,1970-01-01 08:53:02.000,Variant 4,4,Simulated process instance,,,complete,,
1015,initiate payment,Claims handler,1970-01-01 08:53:02.000,1970-01-01 08:56:36.000,Variant 4,4,Simulated process instance,,,complete,,
1015,close claim,Claims handler,1970-01-01 08:56:36.000,1970-01-01 08:56:48.000,Variant 4,4,Simulated process instance,,,complete,,
1015,advise claimant on reimbursement,Claims handler,1970-01-01 08:56:48.000,1970-01-01 08:57:38.000,Variant 4,4,Simulated process instance,,,complete,,
1015,end,Claims handler,1970-01-01 08:57:38.000,1970-01-01 08:57:38.000,Variant 4,4,Simulated process instance,,20871,complete,,processed
1016,incoming claim,customer,1970-01-01 03:21:22.000,1970-01-01 03:21:22.000,Variant 7,7,Simulated process instance,Brisbane,,complete,,
1016,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 04:35:26.000,1970-01-01 04:35:26.000,Variant 7,7,Simulated process instance,,,complete,Brisbane,
1016,B register claim,Call Centre Agent Brisbane,1970-01-01 04:35:26.000,1970-01-01 04:41:15.000,Variant 7,7,Simulated process instance,,,complete,,
1016,determine likelihood of claim,Claims handler,1970-01-01 06:07:31.000,1970-01-01 06:07:58.000,Variant 7,7,Simulated process instance,,,complete,,
1016,assess claim,Claims handler,1970-01-01 06:07:58.000,1970-01-01 06:15:29.000,Variant 7,7,Simulated process instance,,,complete,,
1016,initiate payment,Claims handler,1970-01-01 06:15:29.000,1970-01-01 06:15:49.000,Variant 7,7,Simulated process instance,,,complete,,
1016,close claim,Claims handler,1970-01-01 06:15:49.000,1970-01-01 06:16:24.000,Variant 7,7,Simulated process instance,,,complete,,
1016,advise claimant on reimbursement,Claims handler,1970-01-01 06:16:24.000,1970-01-01 06:24:39.000,Variant 7,7,Simulated process instance,,,complete,,
1016,end,Claims handler,1970-01-01 06:24:39.000,1970-01-01 06:24:39.000,Variant 7,7,Simulated process instance,,10997,complete,,processed
1017,incoming claim,customer,1970-01-01 03:09:54.000,1970-01-01 03:09:54.000,Variant 3,3,Simulated process instance,Sydney,,complete,,
1017,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:21:23.000,1970-01-01 03:22:05.000,Variant 3,3,Simulated process instance,,,complete,Sydney,
1017,end,Call Centre Agent Sydney,1970-01-01 03:22:05.000,1970-01-01 03:22:05.000,Variant 3,3,Simulated process instance,,731,complete,,S insufficient information
1018,incoming claim,customer,1970-01-01 03:21:29.000,1970-01-01 03:21:29.000,Variant 6,6,Simulated process instance,Brisbane,,complete,,
1018,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 05:31:37.000,1970-01-01 05:31:39.000,Variant 6,6,Simulated process instance,,,complete,Brisbane,
1018,B register claim,Call Centre Agent Brisbane,1970-01-01 05:31:39.000,1970-01-01 05:36:31.000,Variant 6,6,Simulated process instance,,,complete,,
1018,determine likelihood of claim,Claims handler,1970-01-01 06:45:41.000,1970-01-01 06:46:13.000,Variant 6,6,Simulated process instance,,,complete,,
1018,end,Claims handler,1970-01-01 06:46:13.000,1970-01-01 06:46:13.000,Variant 6,6,Simulated process instance,,12284,complete,,not liable
1019,incoming claim,customer,1970-01-01 03:10:03.000,1970-01-01 03:10:03.000,Variant 11,11,Simulated process instance,Sydney,,complete,,
1019,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:37:07.000,1970-01-01 03:37:40.000,Variant 11,11,Simulated process instance,,,complete,Sydney,
1019,S register claim,Call Centre Agent Sydney,1970-01-01 03:37:40.000,1970-01-01 03:45:47.000,Variant 11,11,Simulated process instance,,,complete,,
1019,determine likelihood of claim,Claims handler,1970-01-01 06:12:14.000,1970-01-01 06:12:24.000,Variant 11,11,Simulated process instance,,,complete,,
1019,assess claim,Claims handler,1970-01-01 06:12:24.000,1970-01-01 06:12:36.000,Variant 11,11,Simulated process instance,,,complete,,
1019,end,Claims handler,1970-01-01 06:12:36.000,1970-01-01 06:12:36.000,Variant 11,11,Simulated process instance,,10953,complete,,rejected
102,incoming claim,customer,1970-01-01 01:13:02.000,1970-01-01 01:13:02.000,Variant 6,6,Simulated process instance,Brisbane,,complete,,
102,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 01:20:21.000,1970-01-01 01:20:48.000,Variant 6,6,Simulated process instance,,,complete,Brisbane,
102,B register claim,Call Centre Agent Brisbane,1970-01-01 01:20:48.000,1970-01-01 01:24:37.000,Variant 6,6,Simulated process instance,,,complete,,
102,determine likelihood of claim,Claims handler,1970-01-01 02:38:47.000,1970-01-01 02:38:47.000,Variant 6,6,Simulated process instance,,,complete,,
102,end,Claims handler,1970-01-01 02:38:47.000,1970-01-01 02:38:47.000,Variant 6,6,Simulated process instance,,5145,complete,,not liable
1020,incoming claim,customer,1970-01-01 03:21:42.000,1970-01-01 03:21:42.000,Variant 1,1,Simulated process instance,Brisbane,,complete,,
1020,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 03:50:11.000,1970-01-01 03:50:28.000,Variant 1,1,Simulated process instance,,,complete,Brisbane,
1020,B register claim,Call Centre Agent Brisbane,1970-01-01 03:50:28.000,1970-01-01 03:53:29.000,Variant 1,1,Simulated process instance,,,complete,,
1020,determine likelihood of claim,Claims handler,1970-01-01 04:25:46.000,1970-01-01 04:26:02.000,Variant 1,1,Simulated process instance,,,complete,,
1020,assess claim,Claims handler,1970-01-01 04:26:02.000,1970-01-01 04:31:34.000,Variant 1,1,Simulated process instance,,,complete,,
1020,advise claimant on reimbursement,Claims handler,1970-01-01 04:31:34.000,1970-01-01 04:33:02.000,Variant 1,1,Simulated process instance,,,complete,,
1020,initiate payment,Claims handler,1970-01-01 04:33:02.000,1970-01-01 04:36:00.000,Variant 1,1,Simulated process instance,,,complete,,
1020,close claim,Claims handler,1970-01-01 04:36:00.000,1970-01-01 04:36:04.000,Variant 1,1,Simulated process instance,,,complete,,
1020,end,Claims handler,1970-01-01 04:36:04.000,1970-01-01 04:36:04.000,Variant 1,1,Simulated process instance,,4462,complete,,processed
1021,incoming claim,customer,1970-01-01 03:10:05.000,1970-01-01 03:10:05.000,Variant 2,2,Simulated process instance,Sydney,,complete,,
1021,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 03:29:15.000,1970-01-01 03:29:26.000,Variant 2,2,Simulated process instance,,,complete,Sydney,
1021,S register claim,Call Centre Agent Sydney,1970-01-01 03:29:26.000,1970-01-01 03:34:09.000,Variant 2,2,Simulated process instance,,,complete,,
1021,determine likelihood of claim,Claims handler,1970-01-01 05:55:58.000,1970-01-01 05:56:12.000,Variant 2,2,Simulated process instance,,,complete,,
1021,assess claim,Claims handler,1970-01-01 05:56:12.000,1970-01-01 06:27:41.000,Variant 2,2,Simulated process instance,,,complete,,
1021,advise claimant on reimbursement,Claims handler,1970-01-01 06:27:41.000,1970-01-01 06:28:06.000,Variant 2,2,Simulated process instance,,,complete,,
1021,initiate payment,Claims handler,1970-01-01 06:28:06.000,1970-01-01 06:28:19.000,Variant 2,2,Simulated process instance,,,complete,,
1021,close claim,Claims handler,1970-01-01 06:28:19.000,1970-01-01 06:28:33.000,Variant 2,2,Simulated process instance,,,complete,,
1021,end,Claims handler,1970-01-01 06:28:33.000,1970-01-01 06:28:33.000,Variant 2,2,Simulated process instance,,11908,complete,,processed
1022,incoming claim,customer,1970-01-01 03:21:52.000,1970-01-01 03:21:52.000,Variant 9,9,Simulated process instance,Brisbane,,complete,,
1022,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 03:59:50.000,1970-01-01 04:00:33.000,Variant 9,9,Simulated process instance,,,complete,Brisbane,
1022,B register claim,Call Centre Agent Brisbane,1970-01-01 04:00:33.000,1970-01-01 04:07:36.000,Variant 9,9,Simulated process instance,,,complete,,
1022,determine likelihood of claim,Claims handler,1970-01-01 05:09:49.000,1970-01-01 05:10:18.000,Variant 9,9,Simulated process instance,,,complete,,
1022,assess claim,Claims handler,1970-01-01 05:10:18.000,1970-01-01 05:41:58.000,Variant 9,9,Simulated process instance,,,complete,,
1022,initiate payment,Claims handler,1970-01-01 05:41:58.000,1970-01-01 05:43:38.000,Variant 9,9,Simulated process instance,,,complete,,
1022,advise claimant on reimbursement,Claims handler,1970-01-01 05:43:38.000,1970-01-01 05:45:20.000,Variant 9,9,Simulated process instance,,,complete,,
